source_id,category,organization,title,url,accessed_utc,claim_supported,authority,limitations
HF-DOC-001,HF deployment,Hugging Face,Inference Providers,https://huggingface.co/docs/inference-providers/index,2026-08-16,"HF provides unified routing and explicit provider selection",official documentation,"Provider inventory and policies can change"
HF-DOC-002,HF deployment,Hugging Face,HF Inference,https://huggingface.co/docs/inference-providers/providers/hf-inference,2026-08-16,"HF Inference is serverless and currently focuses mostly on CPU tasks",official documentation,"Exact model availability must be queried separately"
HF-DOC-003,HF endpoints,Hugging Face,Inference Endpoints pricing,https://huggingface.co/docs/inference-endpoints/pricing,2026-08-16,"Endpoint compute is minute-billed from hourly instance rates",official documentation,"Rates and quotas are point-in-time"
HF-DOC-004,HF endpoints,Hugging Face,Autoscaling,https://huggingface.co/docs/inference-endpoints/autoscaling,2026-08-16,"Scale-to-zero creates cold starts and may return 502 while initializing",official documentation,"Exact idle period/document variants should be verified in account UI"
HF-DOC-005,HF endpoints,Hugging Face,Configuration,https://huggingface.co/docs/inference-endpoints/guides/configuration,2026-08-16,"Commit revisions security modes cloud/region/instance and autoscaling are configurable",official documentation,"Availability is account/quota/region dependent"
HF-DOC-006,HF endpoints,Hugging Face,Advanced setup,https://huggingface.co/docs/inference-endpoints/guides/advanced,2026-08-16,"Endpoint can target a specific model commit revision",official documentation,"Deployment engine compatibility varies"
HF-DOC-007,HF custom,Hugging Face,Create custom Inference Handler,https://huggingface.co/docs/inference-endpoints/en/guides/custom_handler,2026-08-16,"handler.py and requirements.txt support custom preprocessing/tasks",official documentation,"Custom code requires separate supply-chain review"
HF-DOC-008,HF custom,Hugging Face,Custom container,https://huggingface.co/docs/inference-endpoints/guides/custom_container,2026-08-16,"HF Endpoints can run public/private custom containers",official documentation,"Image registry and engine support must be verified"
HF-DOC-009,HF security,Hugging Face,Inference Endpoints Security and Compliance,https://huggingface.co/docs/inference-endpoints/security,2026-08-16,"TLS protected/private modes PrivateLink no payload/token storage claim and 30-day logs",official documentation,"Contract/DPA and current subprocessor terms still require procurement review"
HF-DOC-010,HF observability,Hugging Face,Analytics and Metrics,https://huggingface.co/docs/inference-endpoints/guides/analytics,2026-08-16,"Endpoint request latency hardware and OpenMetrics telemetry are exposed",official documentation,"Metrics names/retention can change"
HF-DOC-011,HF observability,Hugging Face,Runtime Logs,https://huggingface.co/docs/inference-endpoints/guides/logs,2026-08-16,"Endpoint deployment and replica logs are available",official documentation,"Do not rely on provider logs as VeriTrust audit evidence"
HF-DOC-012,HF pricing,Hugging Face,Inference Providers pricing,https://huggingface.co/docs/inference-providers/en/pricing,2026-08-16,"Routed requests support HF billing and provider pass-through pricing",official documentation,"Prices/provider terms change"
HF-DOC-013,HF privacy,Hugging Face,Inference Providers Security,https://huggingface.co/docs/inference-providers/security,2026-08-16,"Routing uses TLS and HF states bodies/responses are not stored; provider policies still apply",official documentation,"Third-party provider terms must be reviewed separately"
HF-DOC-014,HF repositories,Hugging Face,Repository Settings,https://huggingface.co/docs/hub/repositories-settings,2026-08-16,"Private model repositories are non-searchable and access-controlled",official documentation,"Organization RBAC/plan features vary"
HF-MODEL-001,model,Hugging Face/yermandy,deepfake-detection,https://huggingface.co/yermandy/deepfake-detection,2026-08-16,"MIT custom CLIP/PEFT face detector; no Inference Provider mapping",official model card and Hub API,"Model-card performance is not VeriTrust validation"
HF-MODEL-002,model,Hugging Face/OwensLab,commfor-model-384,https://huggingface.co/OwensLab/commfor-model-384,2026-08-16,"MIT safetensors Community Forensics model using custom mixin; no provider mapping",official model card and Hub API,"Dataset licensing is per-source"
HF-MODEL-003,model,Hugging Face/CrabInHoney,URLBERT Tiny v4 malicious URL classifier,https://huggingface.co/CrabInHoney/urlbert-tiny-v4-malicious-url-classifier,2026-08-16,"LABEL_0 benign LABEL_1 defacement LABEL_2 malware LABEL_3 phishing",official model card and immutable config,"Metrics are card claims; no serverless mapping"
HF-MODEL-004,model,Hugging Face/cybersectony,phishing-email-detection-distilbert_v2.4.1,https://huggingface.co/cybersectony/phishing-email-detection-distilbert_v2.4.1,2026-08-16,"hf-inference mapping exists but four generic label semantics are ambiguous",official model card config and Hub API,"Requires golden semantic verification"
HF-MODEL-005,model,Hugging Face/ealvaradob,bert-finetuned-phishing,https://huggingface.co/ealvaradob/bert-finetuned-phishing,2026-08-16,"hf-inference mapping and explicit benign/phishing labels",official model config and Hub API,"Dataset provenance and production calibration remain gates"
COMP-001,competitor,Microsoft,Defender for Office 365 features,https://learn.microsoft.com/en-us/office365/servicedescriptions/microsoft-defender-for-office-365-features,2026-08-16,"Safe Links Safe Attachments anti-phishing policies and regional scanning",official documentation,"Product architecture and pricing details are not fully public"
COMP-002,competitor,Google Cloud,Web Risk,https://cloud.google.com/security/products/web-risk,2026-08-16,"Lookup/Update/Submission APIs and public tiered pricing",official documentation,"Threat-list internals are not public"
COMP-003,competitor,Cloudflare,Email Security,https://developers.cloudflare.com/cloudflare-one/email-security/,2026-08-16,"API BCC/journaling and MX/inline deployment with investigation and remediation",official documentation,"Commercial pricing not public"
COMP-004,competitor,Proofpoint,Core Email Protection,https://www.proofpoint.com/us/products/email-protection,2026-08-16,"API or SEG deployment multilayer evidence and workbench/interaction map",official product documentation,"Marketing efficacy claims are not independently validated here"
COMP-005,competitor,Proofpoint,TAP privacy information,https://www.proofpoint.com/us/legal/trust/targeted-attack-protection,2026-08-16,"Documents URL/attachment processing encryption dashboards and retention description",official privacy statement,"Some retention is described only as aggregated until deletion"
COMP-006,competitor,Mimecast,Advanced Email Security,https://www.mimecast.com/products/email-security/,2026-08-16,"MX and API deployment anomaly/social graph sandbox remediation SIEM/XDR integrations",official product documentation,"Pricing and hidden implementation not public"
