domain,model_key,repository_id,HF_URL,revision,role,deployment,status
deepfake,deepfake.face_manipulation.yermandy_v1,yermandy/deepfake-detection,https://huggingface.co/yermandy/deepfake-detection,9a6857ec642deb57373c5437be803a199468b8c6,face_manipulation,private_hf_repo_plus_hf_endpoint,research_candidate
deepfake,deepfake.face_pipeline.yunet_private_v1,veritrust-private/deepfake-face-pipeline-yunet-v1,,UNKNOWN,face_detection_landmarks_alignment,private_hf_repo_plus_hf_endpoint,requires_packaging_and_qualification
deepfake,deepfake.forensic.residual_private_v1,veritrust-private/deepfake-forensic-residual-v1,,UNKNOWN,independent_low_level_forensics,private_hf_repo_plus_hf_endpoint,requires_research_and_training
deepfake,deepfake.ood.siglip2_private_v1,veritrust-private/deepfake-ood-siglip2,,UNKNOWN,deepfake_out_of_distribution,private_hf_repo_plus_hf_endpoint,requires_training
deepfake,deepfake.synthetic.commfor224_shadow_v1,OwensLab/commfor-model-224,https://huggingface.co/OwensLab/commfor-model-224,26afc31e6b40c312c3fd42c05a758be62446215b,full_frame_synthesis_shadow,hf_inference_endpoint,shadow_only
deepfake,deepfake.synthetic.commfor384_v1,OwensLab/commfor-model-384,https://huggingface.co/OwensLab/commfor-model-384,6076002bf0d9dd37537f965ee2f06f826c333b61,full_frame_synthesis,hf_inference_endpoint,research_candidate
learning,learning.recommendation.private_v1,veritrust-private/learning-recommendation-v1,,UNKNOWN,optional_advisory_learning_recommendation,private_hf_repo_plus_hf_endpoint,optional_future
link,link.brand.siglip2_v1,google/siglip2-base-patch16-224,https://huggingface.co/google/siglip2-base-patch16-224,75de2d55ec2d0b4efc50b3e9ad70dba96a7b2fa2,link_screenshot_brand_embedding,hf_inference_endpoint,candidate_pending_benchmark
link,link.features.gbdt_private_v1,veritrust-private/link-feature-gbdt-v1,,UNKNOWN,link_structured_features,private_hf_repo_plus_hf_endpoint,requires_training
link,link.lexical.pirocheto_onnx_shadow_v1,pirocheto/phishing-url-detection,https://huggingface.co/pirocheto/phishing-url-detection,44f3b19f705b52532e0aadf3d0d15dd892b8a2fb,malicious_url_lexical_shadow,hf_inference_endpoint,research_only
link,link.page_text.deberta_private_v1,veritrust-private/malicious-page-deberta-v1,,UNKNOWN,malicious_page_text,private_hf_repo_plus_hf_endpoint,requires_training
link,link.url.urlbert_v4_v1,CrabInHoney/urlbert-tiny-v4-malicious-url-classifier,https://huggingface.co/CrabInHoney/urlbert-tiny-v4-malicious-url-classifier,917ded0543a630d6e82570bb01ae692f6cbb95f1,malicious_url_primary,hf_inference_endpoint,candidate_pending_benchmark
phishing,phishing.features.gbdt_private_v1,veritrust-private/phishing-feature-gbdt-v1,,UNKNOWN,phishing_structured_features,private_hf_repo_plus_hf_endpoint,requires_training
phishing,phishing.text.cybersectony_shadow_v1,cybersectony/phishing-email-detection-distilbert_v2.4.1,https://huggingface.co/cybersectony/phishing-email-detection-distilbert_v2.4.1,6724dec17360ab1f6450553f1d950404f66a5dde,phishing_email_text_shadow,hf_serverless,shadow_only
phishing,phishing.text.ealvaradob_bert_v1,ealvaradob/bert-finetuned-phishing,https://huggingface.co/ealvaradob/bert-finetuned-phishing,fa8fb73a007174c410ab7160d4e4c6e6b8d998d4,phishing_text_fast_candidate,hf_serverless,candidate_pending_benchmark
phishing,phishing.text.fast.phishlens_v1,Sonje03/phishlens-distilbert,https://huggingface.co/Sonje03/phishlens-distilbert,b585a2b9bbf6777b344d017f4eaff9423363a489,phishing_text_fast_candidate,hf_inference_endpoint,candidate_promotion_gated
phishing,phishing.text.mdeberta_private_v1,veritrust-private/phishing-mdeberta-v1,,UNKNOWN,phishing_multilingual,private_hf_repo_plus_hf_endpoint,requires_training
phishing,phishing.text.modernbert_shadow_v1,mikaelnurminen/modernbert-large-phishing,https://huggingface.co/mikaelnurminen/modernbert-large-phishing,d28c16f882454115d71375d3321fbfd90e566490,phishing_semantic_shadow,hf_inference_endpoint,shadow_only
phishing,BASE_ONLY,microsoft/mdeberta-v3-base,https://huggingface.co/microsoft/mdeberta-v3-base,a0484667b22365f84929a935b5e50a51f71f159d,base for private multilingual phishing classifier,private fine-tune then HF Endpoint,base_checkpoint_not_classifier
link,BASE_ONLY,microsoft/deberta-v3-small,https://huggingface.co/microsoft/deberta-v3-small,a36c739020e01763fe789b4b85e2df55d6180012,base for private page-text classifier,private fine-tune then HF Endpoint,base_checkpoint_not_classifier
